day,period,price,load_MW,thermal_MW,wind_MW,solar_MW,hydro_MW,sdr
20260122,53,246.56632,8256.5583,5328.800405263154,474.1894736842106,453.5684210526317,2000.0,0.9999999999999996
20260122,54,246.56632,8243.750342526317,5333.997710947365,475.021052631579,434.7315789473683,2000.0,0.9999999999999996
20260122,55,246.56632,8201.66705368421,5322.298632631576,484.94736842105254,394.4210526315789,2000.0,0.9999999999999996
20260122,56,246.56632,8159.583764842106,5310.599554315791,494.8736842105262,354.11052631578957,2000.0,1.0000000000000002
20260122,57,246.56632,8117.500475999999,5298.900475999997,504.8,313.7999999999999,2000.0,0.9999999999999998
20260122,58,246.56632,8086.395436421053,5301.253331157893,505.08421052631576,280.057894736842,2000.0,0.9999999999999997
20260122,59,246.56632,8107.437080842104,5370.352870315789,459.56842105263166,277.5157894736842,2000.0,1.0000000000000002
20260122,60,247.36712,8128.478725263159,5439.452409473681,414.0526315789472,274.9736842105262,2000.0,0.9999999999999994
20260122,61,247.6801600000001,8149.520369684208,5508.551948631577,368.5368421052631,272.4315789473684,2000.0,1.0
20260122,62,247.6801600000001,8174.221430526315,5578.895114736839,326.578947368421,268.7473684210527,2000.0,0.9999999999999997
20260122,63,248.00412,8279.429652631581,5676.598073684211,362.8947368421054,239.936842105263,2000.0,0.9999999999999998
20260122,64,248.48096,8384.63787473684,5774.301032631579,399.2105263157895,211.1263157894737,2000.0,1.0000000000000002
20260122,65,248.794,8489.846096842104,5872.003991578946,435.5263157894737,182.31578947368422,2000.0,0.9999999999999998
20260122,66,249.5948,8595.054318947368,5969.706950526315,471.84210526315803,153.5052631578946,2000.0,1.0
20260122,67,249.5948,8623.414796210527,6029.2463751578925,475.4421052631579,118.7263157894739,2000.0,0.9999999999999996
20260122,68,249.84596,8644.456440631579,6085.151177473682,475.92631578947373,83.3789473684211,2000.0,0.9999999999999998
20260122,69,250.2500000000001,8665.498085052632,6141.055979789472,476.4105263157895,48.031578947368295,2000.0,0.9999999999999998
20260122,70,250.70864,8686.539729473683,6196.960782105261,476.89473684210526,12.684210526316,2000.0,1.0
20260122,71,251.51126,8691.114,6237.535052631578,449.52631578947387,4.05263157894737,2000.0,1.0
20260122,72,251.6878,8691.114,6273.850842105261,414.42105263157873,2.84210526315789,2000.0,0.9999999999999998
20260122,73,251.82248,8691.114,6310.166631578946,379.3157894736845,1.631578947368429,2000.0,0.9999999999999998
20260122,74,251.82248,8691.114,6346.482421052631,344.2105263157895,0.4210526315789487,2000.0,1.0
20260122,75,251.82248,8636.222753684213,6313.222753684211,323.0,0.0,2000.0,0.9999999999999998
20260122,76,251.6878,8552.056176,6242.856175999998,309.2000000000001,0.0,2000.0,0.9999999999999998
20260122,77,250.70864,8467.889598315789,6172.489598315786,295.40000000000003,0.0,2000.0,0.9999999999999996
20260122,78,249.84596,8383.723020631578,6102.123020631576,281.5999999999999,0.0,2000.0,0.9999999999999998
20260122,79,249.5948,8288.578193684212,6013.45187789474,275.1263157894737,0.0,2000.0,1.0000000000000002
20260122,80,248.794,8183.369971578946,5908.001550526313,275.3684210526316,0.0,2000.0,0.9999999999999998
20260122,81,248.794,8078.161749473684,5802.551223157893,275.61052631578946,0.0,2000.0,0.9999999999999999
20260122,82,248.48096,7972.953527368422,5697.100895789476,275.8526315789473,0.0,2000.0,1.0000000000000002
20260122,83,248.00412,7843.044244421051,5559.749507578946,283.2947368421053,0.0,2000.0,1.0
20260122,84,247.36712,7674.711089052632,5372.774246947368,301.9368421052633,0.0,2000.0,0.9999999999999999
20260122,85,246.56632,7506.377933684212,5185.798986315788,320.57894736842087,0.0,2000.0,0.9999999999999997
20260122,86,246.16228,7338.044778315788,4998.823725684207,339.221052631579,0.0,2000.0,0.9999999999999998
20260122,87,245.13944,7158.733373684208,4803.017584210524,355.7157894736843,0.0,2000.0,1.0
20260122,88,244.32044,6948.316929473685,4582.190613684209,366.1263157894736,0.0,2000.0,0.9999999999999996
20260122,89,242.88264,6737.900485263157,4361.363643157892,376.5368421052631,0.0,2000.0,0.9999999999999998
20260122,90,242.11096,6527.484041052631,4140.536672631576,386.9473684210527,0.0,2000.0,0.9999999999999996
20260122,91,240.99712,6317.067596842106,3920.120228421054,396.9473684210526,0.0,2000.0,1.0000000000000002
20260122,92,239.88328,6106.651152631579,3702.4406263157894,404.2105263157895,0.0,2000.0,1.0
20260122,93,237.35712,5896.234708421052,3484.761024210529,411.47368421052624,0.0,2000.0,1.0000000000000004
20260122,94,233.67344,5685.818264210528,3267.081422105265,418.7368421052631,0.0,2000.0,1.0000000000000002
20260122,95,225.58536,5475.40182,3049.401820000001,426.0,0.0,2000.0,1.0000000000000002
20260123,0,235.51528,5706.585452399999,3292.5854524000024,413.99999999999994,0.0,2000.0,1.0000000000000007
20260123,1,233.67344,5624.102206269473,3217.365364164213,406.7368421052631,0.0,2000.0,1.0000000000000007
20260123,2,232.414,5541.618960138947,3142.145275928424,399.4736842105263,0.0,2000.0,1.0000000000000007
20260123,3,231.30016,5459.135714008421,3066.925187692632,392.21052631578954,0.0,2000.0,1.0000000000000002
20260123,4,229.07248,5376.652467877894,2991.705099456844,384.9473684210527,0.0,2000.0,1.0000000000000004
20260123,5,229.07248,5312.100362210526,2929.784572736844,382.3157894736842,0.0,2000.0,1.0000000000000004
20260123,6,227.95864,5250.237927612633,2869.858980244214,380.378947368421,0.0,2000.0,1.0000000000000004
